firstname	lastname	university	university_shortname	university_city	function	organization	organization_sector
Margrit	Hugentobler	ETH Zurich	ETH	Zurich	Panel Member	Swiss Federal Office for the Environment	Energy, environment & mobility
Jean-Paul	Clozel	Uni Lausanne	ULA	Lausanne	Founder & CEO	Idorsia Pharmaceuticals	Pharma & health
Klaus	Ritter	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Nationale Suisse Group	Financial industry & insurances
Giulia	Ferro	Uni Geneva	UGE	Geneva	Consultant	European Organization for Nuclear Research	Education & research
Marcel	Graf	Uni Bern	UBE	Bern	Board Member	Inselspital Bern	Pharma & health
Sophie	Blum	ETH Lausanne	EPF	Lausanne	Scientific Advisor	ADC Therapeutics	Pharma & health
Roberto	Castelli	Uni Lugano	USI	Lugano	Advisory Board	Banca del Ceresio	Financial industry & insurances
Angela	Hofmann	Uni Basel	UBA	Basel	Verwaltungsrat	Straumann Holding AG	Pharma & health
Pierre	Grandjean	Uni Neuenburg	UNE	Neuchâtel	Conseil d'administration	Banque Cantonale Neuchâteloise	Financial industry & insurances
Dieter	Schmitt	ETH Zurich	ETH	Zurich	Founder & CTO	Climeworks AG	Energy, environment & mobility
Lucia	Romano	Uni Geneva	UGE	Geneva	Member	World Intellectual Property Organization	Politics, administration, justice system & security sector
Thomas	Brunner	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Helvetia Insurance	Financial industry & insurances
Chiara	Bianchi	ETH Lausanne	EPF	Lausanne	Co-founder	Sophia Genetics	Technology
Heinz	Müller	Uni Bern	UBE	Bern	Advisory Board	CSL Behring	Pharma & health
Frédéric	Dufour	Uni Lausanne	ULA	Lausanne	Directeur	Fondation Leenaards	Society, Social, Culture & Sports
Marco	Schmid	Uni Basel	UBA	Basel	Verwaltungsrat	Merian Iselin Klinik	Pharma & health
Elisabeth	Kessler	ETH Zurich	ETH	Zurich	Board Member	Swiss Federal Nuclear Safety Inspectorate	Politics, administration, justice system & security sector
Stefano	Moret	Uni Lugano	USI	Lugano	Audit Partner	KPMG AG	Consulting, public relations, legal & trust
Anita	Rauch	Uni Zurich	UZH	Zurich	Diagnostic Research Director	Roche Diagnostics International Ltd.	Pharma & health
Bernard	Levrat	Uni Geneva	UGE	Geneva	Directeur général	Hôpitaux Universitaires de Genève	Pharma & health
Markus	Hengstschläger	Uni St. Gallen	USG	Saint Gallen	Board Member	Raiffeisen Switzerland	Financial industry & insurances
Valentina	Greco	ETH Lausanne	EPF	Lausanne	Scientific Advisor	Galderma R&D	Pharma & health
Philipp	Gut	Uni Bern	UBE	Bern	Verwaltungsrat	Bernische Kraftwerke AG	Energy, environment & mobility
Céline	Robert	Uni Neuenburg	UNE	Neuchâtel	Membre du conseil	Microcity Foundation	Education & research
Andrea	Carbone	Uni Lugano	USI	Lugano	Advisory Board	Credit Agricole Suisse	Financial industry & insurances
Regula	Stämpfli	Uni Basel	UBA	Basel	Board Member	Swiss Society for Nutrition	Pharma & health
Jean-Claude	Badoux	ETH Lausanne	EPF	Lausanne	Consultant	Logitech International	Technology
Uwe	Sauer	ETH Zurich	ETH	Zurich	Scientific Advisor	DSM Nutritional Products	Industry, construction & agriculture
Marie-France	Pochon	Uni Geneva	UGE	Geneva	Member	International Committee of the Red Cross	Society, Social, Culture & Sports
Daniel	Buser	Uni Basel	UBA	Basel	Dental Implant Company Advisor	Institut Straumann AG	Pharma & health
Claudio	Bassetti	Uni Bern	UBE	Bern	Neurology Society President	Swiss Neurological Society	Pharma & health
Yves	Miéville	Uni Lausanne	ULA	Lausanne	Administrateur	Vaudoise Assurances	Financial industry & insurances
Sabina	Bieri	ETH Zurich	ETH	Zurich	Panel Member	Swiss Innovation Agency	Education & research
Francesco	Stellacci	ETH Lausanne	EPF	Lausanne	Scientific Advisor	Spaemann AG	Technology
Markus	Greber	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Allianz Suisse	Financial industry & insurances
Carla	Spagnoli	Uni Lugano	USI	Lugano	Board Member	Banca Credinvest	Financial industry & insurances
Ruth	Genner	Uni Zurich	UZH	Zurich	Nationalrätin	Swiss Parliament	Politics, administration, justice system & security sector
Antoine	Geissbuhler	Uni Geneva	UGE	Geneva	Consultant	World Health Organization	Politics, administration, justice system & security sector
Beat	Richner	Uni Basel	UBA	Basel	Pediatric Hospital Founder	Kantha Bopha Children's Hospitals	Society, Social, Culture & Sports
Lorenz	Hurni	ETH Zurich	ETH	Zurich	Board Member	swisstopo	Politics, administration, justice system & security sector
Nathalie	Chèvre	Uni Lausanne	ULA	Lausanne	Experte	Office fédéral de l'environnement	Energy, environment & mobility
Rainer	Wodrich	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Bâloise Holding AG	Financial industry & insurances
Giovanna	Rizzo	ETH Lausanne	EPF	Lausanne	Co-founder	Cellestia Biotech	Pharma & health
Hannes	Germann	Uni Basel	UBA	Basel	Council of States Member	Swiss Federal Assembly	Politics, administration, justice system & security sector
Felix	Würsten	ETH Zurich	ETH	Zurich	Verwaltungsrat	Swissgrid AG	Energy, environment & mobility
Caroline	Vandevyver	Uni Geneva	UGE	Geneva	Member	International Air Transport Association	Commerce, trade & services
Paolo	Arrigoni	Uni Lugano	USI	Lugano	Consultant	Deloitte Switzerland	Consulting, public relations, legal & trust
Susanne	Bickel	Uni Basel	UBA	Basel	Board Member	Swiss Egyptological Society	Society, Social, Culture & Sports
Christiane	Wendehorst	Uni St. Gallen	USG	Saint Gallen	Advisory Board	European Law Institute	Consulting, public relations, legal & trust
Michel	Bierlaire	ETH Lausanne	EPF	Lausanne	Scientific Advisor	Transport Planning Methods	Consulting, public relations, legal & trust
Walter	Steinlin	ETH Zurich	ETH	Zurich	Verwaltungsrat	Axpo Holding AG	Energy, environment & mobility
Fabienne	Crettaz von Roten	Uni Lausanne	ULA	Lausanne	Membre	Science et Cité	Education & research
Giovanna	Bochicchio	Uni Lugano	USI	Lugano	Board Member	Swiss Italian Chamber of Commerce	Commerce, trade & services
Patricia	Danzi	Uni Geneva	UGE	Geneva	Directrice	Swiss Agency for Development and Cooperation	Politics, administration, justice system & security sector
Michael	Hengartner	ETH Zurich	ETH	Zurich	Präsident	swissuniversities	Education & research
Laurent	Mellier	Uni Lausanne	ULA	Lausanne	Directeur médical	Centre hospitalier universitaire vaudois	Pharma & health
Sergio	Rossi	Uni Lugano	USI	Lugano	Economic Advisor	Banca del Gottardo	Financial industry & insurances
Katharina	Fromm	Uni Freiburg	UFR	Fribourg	Vice-présidente	Académie suisse des sciences naturelles	Education & research
Jean-Marc	Piveteau	ETH Zurich	ETH	Zurich	Verwaltungsrat	SBB Cargo AG	Commerce, trade & services
Martine	Rebetez	Uni Neuenburg	UNE	Neuchâtel	Experte climatique	MétéoSuisse	Energy, environment & mobility
Giuseppe	Melfi	Uni Lausanne	ULA	Lausanne	Professeur invité	Université de Tunis	Education & research
Bruno	Staffelbach	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Mammut Sports Group AG	Commerce, trade & services
Cristina	Amon	ETH Zurich	ETH	Zurich	Dean	University of Toronto	Education & research
François	Bregha	Uni Geneva	UGE	Geneva	Senior Advisor	International Committee of the Red Cross	Society, Social, Culture & Sports
Silvia	Decurtins	Uni Basel	UBA	Basel	Board Member	Swiss Chemical Society	Education & research
Alessandro	Curioni	ETH Zurich	ETH	Zurich	Director	IBM Research Zurich	Technology
Marie-Christine	Lemardeley	ETH Lausanne	EPF	Lausanne	Scientific Advisor	Firmenich SA	Technology
Roberto	Bonzio	Uni Lugano	USI	Lugano	Advisory Board	Lugano Airport	Commerce, trade & services
Heidi	Hanselmann	Uni St. Gallen	USG	Saint Gallen	Regierungsrätin	Kanton St. Gallen	Politics, administration, justice system & security sector
Catherine	Deharveng	Uni Geneva	UGE	Geneva	Director	European Space Agency	Education & research
Marcel	Salathé	ETH Lausanne	EPF	Lausanne	Co-founder	Epidemium Platform	Technology
Stefan	Brupbacher	Uni Zurich	UZH	Zurich	CEO	InSphero AG	Pharma & health
Raffaello	D'Andrea	ETH Zurich	ETH	Zurich	Co-founder	Kiva Systems	Technology
Valérie	Chételat	Uni Neuenburg	UNE	Neuchâtel	Directrice	Musée d'art et d'histoire Neuchâtel	Society, Social, Culture & Sports
Lukas	Bruhin	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Emmi AG	Industry, construction & agriculture
Silvia	Arber	Uni Basel	UBA	Basel	Scientific Advisor	Biogen Inc.	Pharma & health
François	Fleuret	ETH Lausanne	EPF	Lausanne	Research Scientist	Facebook AI Research	Technology
Marina	Carobbio	Uni Lugano	USI	Lugano	Ständerätin	Swiss Parliament	Politics, administration, justice system & security sector
